Statistic,Month,Type of Animal,UNIT,VALUE
Weight of Livestock Slaughtered,2010M11,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2010M11,Lambs,000 Tonnes,3.9
Weight of Livestock Slaughtered,2010M11,Cattle (Including Calves),000 Tonnes,54.4
Weight of Livestock Slaughtered,2010M11,Cattle without Calves,000 Tonnes,54.3
Weight of Livestock Slaughtered,2010M12,Sheep,000 Tonnes,3.4
Weight of Livestock Slaughtered,2010M12,Pigs,000 Tonnes,17.6
Weight of Livestock Slaughtered,2010M12,Bullocks,000 Tonnes,15.2
Weight of Livestock Slaughtered,2010M12,Bulls,000 Tonnes,7.7
Weight of Livestock Slaughtered,2010M12,Cows,000 Tonnes,7.6
Weight of Livestock Slaughtered,2010M12,Heifers,000 Tonnes,11.3
Weight of Livestock Slaughtered,2010M12,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2010M12,Lambs,000 Tonnes,2.9
Weight of Livestock Slaughtered,2010M12,Cattle (Including Calves),000 Tonnes,41.8
Weight of Livestock Slaughtered,2010M12,Cattle without Calves,000 Tonnes,41.7
Weight of Livestock Slaughtered,2011M01,Sheep,000 Tonnes,3.2
Weight of Livestock Slaughtered,2011M01,Pigs,000 Tonnes,18.4
Weight of Livestock Slaughtered,2011M01,Bullocks,000 Tonnes,13
Weight of Livestock Slaughtered,2011M01,Bulls,000 Tonnes,8.8
Weight of Livestock Slaughtered,2011M01,Cows,000 Tonnes,6.6
Weight of Livestock Slaughtered,2011M01,Heifers,000 Tonnes,11.6
Weight of Livestock Slaughtered,2011M01,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2011M01,Lambs,000 Tonnes,2.7
Weight of Livestock Slaughtered,2011M01,Cattle (Including Calves),000 Tonnes,40.1
Weight of Livestock Slaughtered,2011M01,Cattle without Calves,000 Tonnes,40
Weight of Livestock Slaughtered,2011M02,Sheep,000 Tonnes,2.9
Weight of Livestock Slaughtered,2011M02,Pigs,000 Tonnes,18.3
Weight of Livestock Slaughtered,2011M02,Bullocks,000 Tonnes,13.9
Weight of Livestock Slaughtered,2011M02,Bulls,000 Tonnes,8.8
Weight of Livestock Slaughtered,2011M02,Cows,000 Tonnes,7.3
Weight of Livestock Slaughtered,2011M02,Heifers,000 Tonnes,12
Weight of Livestock Slaughtered,2011M02,Calves,000 Tonnes,0.2
Weight of Livestock Slaughtered,2011M02,Lambs,000 Tonnes,2.5
Weight of Livestock Slaughtered,2011M02,Cattle (Including Calves),000 Tonnes,42.1
Weight of Livestock Slaughtered,2011M02,Cattle without Calves,000 Tonnes,41.9
Weight of Livestock Slaughtered,2011M03,Sheep,000 Tonnes,3
Weight of Livestock Slaughtered,2011M03,Pigs,000 Tonnes,20.2
Weight of Livestock Slaughtered,2011M03,Bullocks,000 Tonnes,17.2
Weight of Livestock Slaughtered,2011M03,Bulls,000 Tonnes,9.6
Weight of Livestock Slaughtered,2011M03,Cows,000 Tonnes,8.3
Weight of Livestock Slaughtered,2011M03,Heifers,000 Tonnes,13.6
Weight of Livestock Slaughtered,2011M03,Calves,000 Tonnes,0.2
Weight of Livestock Slaughtered,2011M03,Lambs,000 Tonnes,2.5
Weight of Livestock Slaughtered,2011M03,Cattle (Including Calves),000 Tonnes,48.9
Weight of Livestock Slaughtered,2011M03,Cattle without Calves,000 Tonnes,48.7
Weight of Livestock Slaughtered,2011M04,Sheep,000 Tonnes,3.3
Weight of Livestock Slaughtered,2011M04,Pigs,000 Tonnes,18.3
Weight of Livestock Slaughtered,2011M04,Bullocks,000 Tonnes,16.5
Weight of Livestock Slaughtered,2011M04,Bulls,000 Tonnes,8.2
Weight of Livestock Slaughtered,2011M04,Cows,000 Tonnes,7.7
Weight of Livestock Slaughtered,2011M04,Heifers,000 Tonnes,12.6
Weight of Livestock Slaughtered,2011M04,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2011M04,Lambs,000 Tonnes,2.8
Weight of Livestock Slaughtered,2011M04,Cattle (Including Calves),000 Tonnes,45.2
Weight of Livestock Slaughtered,2011M04,Cattle without Calves,000 Tonnes,45.1
Weight of Livestock Slaughtered,2011M05,Sheep,000 Tonnes,3.8
Weight of Livestock Slaughtered,2011M05,Pigs,000 Tonnes,19.4
Weight of Livestock Slaughtered,2011M05,Bullocks,000 Tonnes,14
Weight of Livestock Slaughtered,2011M05,Bulls,000 Tonnes,8.4
Weight of Livestock Slaughtered,2011M05,Cows,000 Tonnes,10.5
Weight of Livestock Slaughtered,2011M05,Heifers,000 Tonnes,11.6
Weight of Livestock Slaughtered,2011M05,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2011M05,Lambs,000 Tonnes,3.3
Weight of Livestock Slaughtered,2011M05,Cattle (Including Calves),000 Tonnes,44.7
Weight of Livestock Slaughtered,2011M05,Cattle without Calves,000 Tonnes,44.6
Weight of Livestock Slaughtered,2011M06,Sheep,000 Tonnes,4.5
Weight of Livestock Slaughtered,2011M06,Pigs,000 Tonnes,18.9
Weight of Livestock Slaughtered,2011M06,Bullocks,000 Tonnes,14.6
Weight of Livestock Slaughtered,2011M06,Bulls,000 Tonnes,7.5
Weight of Livestock Slaughtered,2011M06,Cows,000 Tonnes,11.6
Weight of Livestock Slaughtered,2011M06,Heifers,000 Tonnes,11.3
Weight of Livestock Slaughtered,2011M06,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2011M06,Lambs,000 Tonnes,3.9
Weight of Livestock Slaughtered,2011M06,Cattle (Including Calves),000 Tonnes,45.1
Weight of Livestock Slaughtered,2011M06,Cattle without Calves,000 Tonnes,45
Weight of Livestock Slaughtered,2011M07,Sheep,000 Tonnes,4.6
Weight of Livestock Slaughtered,2011M07,Pigs,000 Tonnes,18.5
Weight of Livestock Slaughtered,2011M07,Bullocks,000 Tonnes,14.1
Weight of Livestock Slaughtered,2011M07,Bulls,000 Tonnes,4.9
Weight of Livestock Slaughtered,2011M07,Cows,000 Tonnes,9.7
Weight of Livestock Slaughtered,2011M07,Heifers,000 Tonnes,10.2
Weight of Livestock Slaughtered,2011M07,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2011M07,Lambs,000 Tonnes,4.1
Weight of Livestock Slaughtered,2011M07,Cattle (Including Calves),000 Tonnes,39
Weight of Livestock Slaughtered,2011M07,Cattle without Calves,000 Tonnes,38.9
Weight of Livestock Slaughtered,2011M08,Sheep,000 Tonnes,5.2
Weight of Livestock Slaughtered,2011M08,Pigs,000 Tonnes,20.6
Weight of Livestock Slaughtered,2011M08,Bullocks,000 Tonnes,22
Weight of Livestock Slaughtered,2011M08,Bulls,000 Tonnes,5
Weight of Livestock Slaughtered,2011M08,Cows,000 Tonnes,8.9
Weight of Livestock Slaughtered,2011M08,Heifers,000 Tonnes,11.7
Weight of Livestock Slaughtered,2011M08,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2011M08,Lambs,000 Tonnes,4.3
Weight of Livestock Slaughtered,2011M08,Cattle (Including Calves),000 Tonnes,47.7
Weight of Livestock Slaughtered,2011M08,Cattle without Calves,000 Tonnes,47.6
Weight of Livestock Slaughtered,2011M09,Sheep,000 Tonnes,4.9
Weight of Livestock Slaughtered,2011M09,Pigs,000 Tonnes,20.8
Weight of Livestock Slaughtered,2011M09,Bullocks,000 Tonnes,26.5
Weight of Livestock Slaughtered,2011M09,Bulls,000 Tonnes,4.8
Weight of Livestock Slaughtered,2011M09,Cows,000 Tonnes,8.7
Weight of Livestock Slaughtered,2011M09,Heifers,000 Tonnes,11.9
Weight of Livestock Slaughtered,2011M09,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2011M09,Lambs,000 Tonnes,4.1
Weight of Livestock Slaughtered,2011M09,Cattle (Including Calves),000 Tonnes,51.9
Weight of Livestock Slaughtered,2011M09,Cattle without Calves,000 Tonnes,51.9
Weight of Livestock Slaughtered,2011M10,Sheep,000 Tonnes,4.4
Weight of Livestock Slaughtered,2011M10,Pigs,000 Tonnes,19.3
Weight of Livestock Slaughtered,2011M10,Bullocks,000 Tonnes,25.3
Weight of Livestock Slaughtered,2011M10,Bulls,000 Tonnes,4.7
Weight of Livestock Slaughtered,2011M10,Cows,000 Tonnes,9.1
Weight of Livestock Slaughtered,2011M10,Heifers,000 Tonnes,11.7
Weight of Livestock Slaughtered,2011M10,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2011M10,Lambs,000 Tonnes,3.8
Weight of Livestock Slaughtered,2011M10,Cattle (Including Calves),000 Tonnes,50.9
Weight of Livestock Slaughtered,2011M10,Cattle without Calves,000 Tonnes,50.8
Weight of Livestock Slaughtered,2011M11,Sheep,000 Tonnes,4.3
Weight of Livestock Slaughtered,2011M11,Pigs,000 Tonnes,22
Weight of Livestock Slaughtered,2011M11,Bullocks,000 Tonnes,21.9
Weight of Livestock Slaughtered,2011M11,Bulls,000 Tonnes,7.7
Weight of Livestock Slaughtered,2011M11,Cows,000 Tonnes,10.5
Weight of Livestock Slaughtered,2011M11,Heifers,000 Tonnes,13.4
Weight of Livestock Slaughtered,2011M11,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2011M11,Lambs,000 Tonnes,3.7
Weight of Livestock Slaughtered,2011M11,Cattle (Including Calves),000 Tonnes,53.6
Weight of Livestock Slaughtered,2011M11,Cattle without Calves,000 Tonnes,53.5
Weight of Livestock Slaughtered,2011M12,Sheep,000 Tonnes,4.2
Weight of Livestock Slaughtered,2011M12,Pigs,000 Tonnes,19.1
Weight of Livestock Slaughtered,2011M12,Bullocks,000 Tonnes,10.8
Weight of Livestock Slaughtered,2011M12,Bulls,000 Tonnes,8.9
Weight of Livestock Slaughtered,2011M12,Cows,000 Tonnes,7.7
Weight of Livestock Slaughtered,2011M12,Heifers,000 Tonnes,10.4
Weight of Livestock Slaughtered,2011M12,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2011M12,Lambs,000 Tonnes,3.6
Weight of Livestock Slaughtered,2011M12,Cattle (Including Calves),000 Tonnes,37.9
Weight of Livestock Slaughtered,2011M12,Cattle without Calves,000 Tonnes,37.8
Weight of Livestock Slaughtered,2012M01,Sheep,000 Tonnes,3.5
Weight of Livestock Slaughtered,2012M01,Pigs,000 Tonnes,20.7
Weight of Livestock Slaughtered,2012M01,Bullocks,000 Tonnes,11.1
Weight of Livestock Slaughtered,2012M01,Bulls,000 Tonnes,11.4
Weight of Livestock Slaughtered,2012M01,Cows,000 Tonnes,7.6
Weight of Livestock Slaughtered,2012M01,Heifers,000 Tonnes,11.9
Weight of Livestock Slaughtered,2012M01,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M01,Lambs,000 Tonnes,3.1
Weight of Livestock Slaughtered,2012M01,Cattle (Including Calves),000 Tonnes,42.1
Weight of Livestock Slaughtered,2012M01,Cattle without Calves,000 Tonnes,42.1
Weight of Livestock Slaughtered,2012M02,Sheep,000 Tonnes,3
Weight of Livestock Slaughtered,2012M02,Pigs,000 Tonnes,20.5
Weight of Livestock Slaughtered,2012M02,Bullocks,000 Tonnes,10.7
Weight of Livestock Slaughtered,2012M02,Bulls,000 Tonnes,9.9
Weight of Livestock Slaughtered,2012M02,Cows,000 Tonnes,8
Weight of Livestock Slaughtered,2012M02,Heifers,000 Tonnes,11.3
Weight of Livestock Slaughtered,2012M02,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M02,Lambs,000 Tonnes,2.6
Weight of Livestock Slaughtered,2012M02,Cattle (Including Calves),000 Tonnes,39.8
Weight of Livestock Slaughtered,2012M02,Cattle without Calves,000 Tonnes,39.8
Weight of Livestock Slaughtered,2012M03,Sheep,000 Tonnes,2.9
Weight of Livestock Slaughtered,2012M03,Pigs,000 Tonnes,20.3
Weight of Livestock Slaughtered,2012M03,Bullocks,000 Tonnes,11.7
Weight of Livestock Slaughtered,2012M03,Bulls,000 Tonnes,8.7
Weight of Livestock Slaughtered,2012M03,Cows,000 Tonnes,7
Weight of Livestock Slaughtered,2012M03,Heifers,000 Tonnes,10.6
Weight of Livestock Slaughtered,2012M03,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M03,Lambs,000 Tonnes,2.5
Weight of Livestock Slaughtered,2012M03,Cattle (Including Calves),000 Tonnes,38
Weight of Livestock Slaughtered,2012M03,Cattle without Calves,000 Tonnes,38
Weight of Livestock Slaughtered,2012M04,Sheep,000 Tonnes,3.3
Weight of Livestock Slaughtered,2012M04,Pigs,000 Tonnes,19.9
Weight of Livestock Slaughtered,2012M04,Bullocks,000 Tonnes,12.2
Weight of Livestock Slaughtered,2012M04,Bulls,000 Tonnes,7.3
Weight of Livestock Slaughtered,2012M04,Cows,000 Tonnes,7.6
Weight of Livestock Slaughtered,2012M04,Heifers,000 Tonnes,10.2
Weight of Livestock Slaughtered,2012M04,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M04,Lambs,000 Tonnes,2.9
Weight of Livestock Slaughtered,2012M04,Cattle (Including Calves),000 Tonnes,37.4
Weight of Livestock Slaughtered,2012M04,Cattle without Calves,000 Tonnes,37.4
Weight of Livestock Slaughtered,2012M05,Sheep,000 Tonnes,4.5
Weight of Livestock Slaughtered,2012M05,Pigs,000 Tonnes,21.7
Weight of Livestock Slaughtered,2012M05,Bullocks,000 Tonnes,10.9
Weight of Livestock Slaughtered,2012M05,Bulls,000 Tonnes,8.2
Weight of Livestock Slaughtered,2012M05,Cows,000 Tonnes,10.2
Weight of Livestock Slaughtered,2012M05,Heifers,000 Tonnes,10.3
Weight of Livestock Slaughtered,2012M05,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M05,Lambs,000 Tonnes,4
Weight of Livestock Slaughtered,2012M05,Cattle (Including Calves),000 Tonnes,39.6
Weight of Livestock Slaughtered,2012M05,Cattle without Calves,000 Tonnes,39.5
Weight of Livestock Slaughtered,2012M06,Sheep,000 Tonnes,4.2
Weight of Livestock Slaughtered,2012M06,Pigs,000 Tonnes,18
Weight of Livestock Slaughtered,2012M06,Bullocks,000 Tonnes,9.9
Weight of Livestock Slaughtered,2012M06,Bulls,000 Tonnes,6.5
Weight of Livestock Slaughtered,2012M06,Cows,000 Tonnes,9.6
Weight of Livestock Slaughtered,2012M06,Heifers,000 Tonnes,9.2
Weight of Livestock Slaughtered,2012M06,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M06,Lambs,000 Tonnes,3.8
Weight of Livestock Slaughtered,2012M06,Cattle (Including Calves),000 Tonnes,35.3
Weight of Livestock Slaughtered,2012M06,Cattle without Calves,000 Tonnes,35.2
Weight of Livestock Slaughtered,2012M07,Sheep,000 Tonnes,5.1
Weight of Livestock Slaughtered,2012M07,Pigs,000 Tonnes,20.5
Weight of Livestock Slaughtered,2012M07,Bullocks,000 Tonnes,13.8
Weight of Livestock Slaughtered,2012M07,Bulls,000 Tonnes,5.2
Weight of Livestock Slaughtered,2012M07,Cows,000 Tonnes,9.6
Weight of Livestock Slaughtered,2012M07,Heifers,000 Tonnes,9.8
Weight of Livestock Slaughtered,2012M07,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M07,Lambs,000 Tonnes,4.5
Weight of Livestock Slaughtered,2012M07,Cattle (Including Calves),000 Tonnes,38.5
Weight of Livestock Slaughtered,2012M07,Cattle without Calves,000 Tonnes,38.4
Weight of Livestock Slaughtered,2012M08,Sheep,000 Tonnes,5.9
Weight of Livestock Slaughtered,2012M08,Pigs,000 Tonnes,20.8
Weight of Livestock Slaughtered,2012M08,Bullocks,000 Tonnes,17.8
Weight of Livestock Slaughtered,2012M08,Bulls,000 Tonnes,5.6
Weight of Livestock Slaughtered,2012M08,Cows,000 Tonnes,9
Weight of Livestock Slaughtered,2012M08,Heifers,000 Tonnes,10.4
Weight of Livestock Slaughtered,2012M08,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M08,Lambs,000 Tonnes,4.9
Weight of Livestock Slaughtered,2012M08,Cattle (Including Calves),000 Tonnes,42.9
Weight of Livestock Slaughtered,2012M08,Cattle without Calves,000 Tonnes,42.8
Weight of Livestock Slaughtered,2012M09,Sheep,000 Tonnes,5.2
Weight of Livestock Slaughtered,2012M09,Pigs,000 Tonnes,18.8
Weight of Livestock Slaughtered,2012M09,Bullocks,000 Tonnes,19.4
Weight of Livestock Slaughtered,2012M09,Bulls,000 Tonnes,5.4
Weight of Livestock Slaughtered,2012M09,Cows,000 Tonnes,7.7
Weight of Livestock Slaughtered,2012M09,Heifers,000 Tonnes,9.7
Weight of Livestock Slaughtered,2012M09,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M09,Lambs,000 Tonnes,4.2
Weight of Livestock Slaughtered,2012M09,Cattle (Including Calves),000 Tonnes,42.2
Weight of Livestock Slaughtered,2012M09,Cattle without Calves,000 Tonnes,42.2
Weight of Livestock Slaughtered,2012M10,Sheep,000 Tonnes,6
Weight of Livestock Slaughtered,2012M10,Pigs,000 Tonnes,21.6
Weight of Livestock Slaughtered,2012M10,Bullocks,000 Tonnes,24.2
Weight of Livestock Slaughtered,2012M10,Bulls,000 Tonnes,6.7
Weight of Livestock Slaughtered,2012M10,Cows,000 Tonnes,9.7
Weight of Livestock Slaughtered,2012M10,Heifers,000 Tonnes,10.9
Weight of Livestock Slaughtered,2012M10,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M10,Lambs,000 Tonnes,5
Weight of Livestock Slaughtered,2012M10,Cattle (Including Calves),000 Tonnes,51.6
Weight of Livestock Slaughtered,2012M10,Cattle without Calves,000 Tonnes,51.6
Weight of Livestock Slaughtered,2012M11,Sheep,000 Tonnes,5.4
Weight of Livestock Slaughtered,2012M11,Pigs,000 Tonnes,21.2
Weight of Livestock Slaughtered,2012M11,Bullocks,000 Tonnes,18.2
Weight of Livestock Slaughtered,2012M11,Bulls,000 Tonnes,8.7
Weight of Livestock Slaughtered,2012M11,Cows,000 Tonnes,10.5
Weight of Livestock Slaughtered,2012M11,Heifers,000 Tonnes,11.5
Weight of Livestock Slaughtered,2012M11,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M11,Lambs,000 Tonnes,4.4
Weight of Livestock Slaughtered,2012M11,Cattle (Including Calves),000 Tonnes,48.9
Weight of Livestock Slaughtered,2012M11,Cattle without Calves,000 Tonnes,48.8
Weight of Livestock Slaughtered,2012M12,Sheep,000 Tonnes,4.6
Weight of Livestock Slaughtered,2012M12,Pigs,000 Tonnes,17.4
Weight of Livestock Slaughtered,2012M12,Bullocks,000 Tonnes,11.7
Weight of Livestock Slaughtered,2012M12,Bulls,000 Tonnes,9.5
Weight of Livestock Slaughtered,2012M12,Cows,000 Tonnes,7.9
Weight of Livestock Slaughtered,2012M12,Heifers,000 Tonnes,10.1
Weight of Livestock Slaughtered,2012M12,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2012M12,Lambs,000 Tonnes,4
Weight of Livestock Slaughtered,2012M12,Cattle (Including Calves),000 Tonnes,39.1
Weight of Livestock Slaughtered,2012M12,Cattle without Calves,000 Tonnes,39.1
Weight of Livestock Slaughtered,2013M01,Sheep,000 Tonnes,4.6
Weight of Livestock Slaughtered,2013M01,Pigs,000 Tonnes,21.8
Weight of Livestock Slaughtered,2013M01,Bullocks,000 Tonnes,13.3
Weight of Livestock Slaughtered,2013M01,Bulls,000 Tonnes,11.4
Weight of Livestock Slaughtered,2013M01,Cows,000 Tonnes,8.1
Weight of Livestock Slaughtered,2013M01,Heifers,000 Tonnes,13.2
Weight of Livestock Slaughtered,2013M01,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2013M01,Lambs,000 Tonnes,3.9
Weight of Livestock Slaughtered,2013M01,Cattle (Including Calves),000 Tonnes,46
Weight of Livestock Slaughtered,2013M01,Cattle without Calves,000 Tonnes,46
Weight of Livestock Slaughtered,2013M02,Sheep,000 Tonnes,3.8
Weight of Livestock Slaughtered,2013M02,Pigs,000 Tonnes,18.9
Weight of Livestock Slaughtered,2013M02,Bullocks,000 Tonnes,12.8
Weight of Livestock Slaughtered,2013M02,Bulls,000 Tonnes,10.2
Weight of Livestock Slaughtered,2013M02,Cows,000 Tonnes,8.1
Weight of Livestock Slaughtered,2013M02,Heifers,000 Tonnes,11.5
Weight of Livestock Slaughtered,2013M02,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2013M02,Lambs,000 Tonnes,3.1
Weight of Livestock Slaughtered,2013M02,Cattle (Including Calves),000 Tonnes,42.6
Weight of Livestock Slaughtered,2013M02,Cattle without Calves,000 Tonnes,42.5
Weight of Livestock Slaughtered,2013M03,Sheep,000 Tonnes,4.1
Weight of Livestock Slaughtered,2013M03,Pigs,000 Tonnes,19.8
Weight of Livestock Slaughtered,2013M03,Bullocks,000 Tonnes,12.3
Weight of Livestock Slaughtered,2013M03,Bulls,000 Tonnes,7.4
Weight of Livestock Slaughtered,2013M03,Cows,000 Tonnes,7.9
Weight of Livestock Slaughtered,2013M03,Heifers,000 Tonnes,10.6
Weight of Livestock Slaughtered,2013M03,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2013M03,Lambs,000 Tonnes,3.5
Weight of Livestock Slaughtered,2013M03,Cattle (Including Calves),000 Tonnes,38.3
Weight of Livestock Slaughtered,2013M03,Cattle without Calves,000 Tonnes,38.2
Weight of Livestock Slaughtered,2013M04,Sheep,000 Tonnes,3.6
Weight of Livestock Slaughtered,2013M04,Pigs,000 Tonnes,20.5
Weight of Livestock Slaughtered,2013M04,Bullocks,000 Tonnes,13.8
Weight of Livestock Slaughtered,2013M04,Bulls,000 Tonnes,6.2
Weight of Livestock Slaughtered,2013M04,Cows,000 Tonnes,9
Weight of Livestock Slaughtered,2013M04,Heifers,000 Tonnes,11.9
Weight of Livestock Slaughtered,2013M04,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2013M04,Lambs,000 Tonnes,3
Weight of Livestock Slaughtered,2013M04,Cattle (Including Calves),000 Tonnes,41
Weight of Livestock Slaughtered,2013M04,Cattle without Calves,000 Tonnes,40.9
Weight of Livestock Slaughtered,2013M05,Sheep,000 Tonnes,4
Weight of Livestock Slaughtered,2013M05,Pigs,000 Tonnes,21.7
Weight of Livestock Slaughtered,2013M05,Bullocks,000 Tonnes,12.7
Weight of Livestock Slaughtered,2013M05,Bulls,000 Tonnes,7.2
Weight of Livestock Slaughtered,2013M05,Cows,000 Tonnes,10.3
Weight of Livestock Slaughtered,2013M05,Heifers,000 Tonnes,11.5
Weight of Livestock Slaughtered,2013M05,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2013M05,Lambs,000 Tonnes,3.3
Weight of Livestock Slaughtered,2013M05,Cattle (Including Calves),000 Tonnes,41.7
Weight of Livestock Slaughtered,2013M05,Cattle without Calves,000 Tonnes,41.6
Weight of Livestock Slaughtered,2013M06,Sheep,000 Tonnes,4.2
Weight of Livestock Slaughtered,2013M06,Pigs,000 Tonnes,18.3
Weight of Livestock Slaughtered,2013M06,Bullocks,000 Tonnes,10.4
Weight of Livestock Slaughtered,2013M06,Bulls,000 Tonnes,5.9
Weight of Livestock Slaughtered,2013M06,Cows,000 Tonnes,10.3
Weight of Livestock Slaughtered,2013M06,Heifers,000 Tonnes,9.8
Weight of Livestock Slaughtered,2013M06,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2013M06,Lambs,000 Tonnes,3.6
Weight of Livestock Slaughtered,2013M06,Cattle (Including Calves),000 Tonnes,36.5
Weight of Livestock Slaughtered,2013M06,Cattle without Calves,000 Tonnes,36.4
Weight of Livestock Slaughtered,2013M07,Sheep,000 Tonnes,5.7
Weight of Livestock Slaughtered,2013M07,Pigs,000 Tonnes,21
Weight of Livestock Slaughtered,2013M07,Bullocks,000 Tonnes,15.4
Weight of Livestock Slaughtered,2013M07,Bulls,000 Tonnes,5.5
Weight of Livestock Slaughtered,2013M07,Cows,000 Tonnes,11
