TIME,GEO,MEAT,MEATITEM,UNIT,Value,Flag and Footnotes
1993M02,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,133.64",
1993M02,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,2.57,
1993M02,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),136.07,
1993M02,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1993M02,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M02,Ireland,Bovine meat,Slaughterings,Thousand tonnes,37.1,
1993M02,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),111.7,
1993M02,Ireland,Pigmeat,Slaughterings,Thousand tonnes,15.3,
1993M02,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),220.6,
1993M02,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,5.5,
1993M02,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),269.1,
1993M02,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1993M02,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M03,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,157.48,
1993M03,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),522.46,
1993M03,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,336.33,
1993M03,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,680.45",
1993M03,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,3.43,
1993M03,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),189.38,
1993M03,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1993M03,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M03,Ireland,Bovine meat,Slaughterings,Thousand tonnes,41.3,
1993M03,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),126.4,
1993M03,Ireland,Pigmeat,Slaughterings,Thousand tonnes,18.4,
1993M03,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),264.2,
1993M03,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,6.9,
1993M03,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),335.7,
1993M03,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1993M03,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M04,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,133.28,
1993M04,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),445.67,
1993M04,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,300.21,
1993M04,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,277.62",
1993M04,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,3.52,
1993M04,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),204.43,
1993M04,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1993M04,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M04,Ireland,Bovine meat,Slaughterings,Thousand tonnes,49.9,
1993M04,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),148.5,
1993M04,Ireland,Pigmeat,Slaughterings,Thousand tonnes,17.1,
1993M04,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),249,
1993M04,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,8.7,
1993M04,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),428.2,
1993M04,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1993M04,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M05,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,122.82,
1993M05,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),407.42,
1993M05,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,303.53,
1993M05,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,314.87",
1993M05,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,2.55,
