Statistic,Month,Commodity Group,UNIT,VALUE
EU HICP,2021M06,Meat (COICOP 01.1.2),Base 2015=100,91.4
EU HICP,2021M07,Meat (COICOP 01.1.2),Base 2015=100,92.2
EU HICP,2021M08,Meat (COICOP 01.1.2),Base 2015=100,91.7
EU HICP,2021M09,Meat (COICOP 01.1.2),Base 2015=100,92.1
EU HICP,2021M10,Meat (COICOP 01.1.2),Base 2015=100,92.5
EU HICP,2021M11,Meat (COICOP 01.1.2),Base 2015=100,91.7
EU HICP,2021M12,Meat (COICOP 01.1.2),Base 2015=100,93
EU HICP,2022M01,Meat (COICOP 01.1.2),Base 2015=100,93.1
EU HICP,2022M02,Meat (COICOP 01.1.2),Base 2015=100,93.8
EU HICP,2022M03,Meat (COICOP 01.1.2),Base 2015=100,94.8
